,raceId,driverId,stop,lap,time,duration,milliseconds,constructors,seconds,points
2325,940,822,2,29,1,23.588,23588,Force India,23.588,1098.0
2326,940,831,2,30,1,24.116,24116,Mercedes,24.116,5927.0
2327,940,807,2,31,1,23.491,23491,Red Bull,23.491,5329.5
2328,940,154,2,33,1,24.554,24554,Red Bull,24.554,5329.5
2329,940,834,2,33,1,25.088,25088,McLaren,25.088,5795.5
2330,940,826,3,34,1,23.381,23381,Red Bull,23.381,5329.5
2331,940,13,3,34,1,24.670,24670,Red Bull,24.67,5329.5
2332,940,815,3,36,1,24.267,24267,Ferrari,24.267,8558.5
2333,940,807,3,42,1,35.760,35760,Red Bull,35.76,5329.5
2334,940,829,1,21,1,25.875,25875,McLaren,25.875,5795.5
2335,940,829,2,32,1,23.647,23647,McLaren,23.647,5795.5
2336,940,829,3,42,1,35.760,35760,McLaren,35.76,5795.5
2337,941,830,1,1,1,37.334,37334,Williams,37.334,3567.0
2338,941,817,1,12,1,29.732,29732,Mercedes,29.732,5927.0
2339,941,832,1,12,1,30.288,30288,Ferrari,30.288,8558.5
2340,941,833,1,13,1,35.072,35072,Mercedes,35.072,5927.0
2341,941,829,1,14,1,32.400,32400,McLaren,32.4,5795.5
2342,941,829,2,17,1,30.421,30421,McLaren,30.421,5795.5
2343,941,830,2,24,1,30.241,30241,Williams,30.241,3567.0
2344,941,822,1,26,1,30.316,30316,Force India,30.316,1098.0
2345,941,1,1,32,1,30.216,30216,McLaren,30.216,5795.5
2346,941,826,1,33,1,30.418,30418,Force India,30.418,1098.0
2347,941,831,1,34,1,30.362,30362,Red Bull,30.362,5329.5
2348,942,154,1,1,1,27.621,27621,Force India,27.621,1098.0
2349,942,834,1,1,1,37.748,37748,Williams,37.748,3567.0
2350,942,4,1,1,1,31.987,31987,Ferrari,31.987,8558.5
2351,942,154,2,9,1,27.730,27730,Force India,27.73,1098.0
2352,942,828,1,16,1,29.728,29728,Red Bull,29.728,5329.5
2353,942,18,1,17,1,27.286,27286,Red Bull,27.286,5329.5
2354,942,834,2,17,1,26.520,26520,Williams,26.52,3567.0
2355,942,813,1,18,1,27.851,27851,Ferrari,27.851,8558.5
2356,942,4,2,18,1,24.631,24631,Ferrari,24.631,8558.5
2357,942,817,1,19,1,24.449,24449,Williams,24.449,3567.0
2358,942,3,1,19,1,24.640,24640,Red Bull,24.64,5329.5
2359,942,826,1,19,1,24.638,24638,Ferrari,24.638,8558.5
2360,942,815,1,19,1,26.458,26458,Force India,26.458,1098.0
2361,942,8,1,19,1,24.733,24733,Williams,24.733,3567.0
2362,942,807,1,19,1,27.344,27344,Mercedes,27.344,5927.0
2363,942,828,2,19,1,30.932,30932,Red Bull,30.932,5329.5
2364,942,8,2,20,1,34.548,34548,Williams,34.548,3567.0
2365,942,4,3,26,1,25.405,25405,Ferrari,25.405,8558.5
2366,942,807,2,27,1,27.360,27360,Mercedes,27.36,5927.0
2367,942,815,2,27,1,24.730,24730,Force India,24.73,1098.0
2368,942,18,2,27,1,24.689,24689,Red Bull,24.689,5329.5
2369,942,813,2,27,1,25.446,25446,Ferrari,25.446,8558.5
2370,942,834,3,27,1,25.812,25812,Williams,25.812,3567.0
2371,942,3,2,38,1,25.242,25242,Red Bull,25.242,5329.5
2372,942,826,2,38,1,25.205,25205,Ferrari,25.205,8558.5
2373,942,817,2,38,1,27.802,27802,Williams,27.802,3567.0
2374,942,813,3,43,1,25.054,25054,Ferrari,25.054,8558.5
2375,942,18,3,44,1,24.862,24862,Red Bull,24.862,5329.5
2376,942,817,3,50,1,24.495,24495,Williams,24.495,3567.0
2377,943,20,1,1,1,28.070,28070,Ferrari,28.07,8558.5
2378,943,807,1,9,1,23.277,23277,Ferrari,23.277,8558.5
2379,943,813,1,10,1,26.647,26647,Mercedes,26.647,5927.0
2380,943,828,1,10,1,22.956,22956,McLaren,22.956,5795.5
2381,943,831,1,12,1,23.026,23026,Force India,23.026,1098.0
2382,943,832,1,13,1,23.128,23128,Mercedes,23.128,5927.0
2383,943,815,1,18,1,23.547,23547,Ferrari,23.547,8558.5
2384,943,829,1,26,1,25.087,25087,McLaren,25.087,5795.5
2385,943,834,1,27,1,25.367,25367,McLaren,25.367,5795.5
2386,943,20,2,35,1,22.156,22156,Ferrari,22.156,8558.5
2387,943,828,2,39,1,23.461,23461,McLaren,23.461,5795.5
2388,943,832,2,43,1,23.776,23776,Mercedes,23.776,5927.0
2389,943,831,2,44,1,23.417,23417,Force India,23.417,1098.0
2390,943,832,3,51,1,23.068,23068,Mercedes,23.068,5927.0
2391,943,828,3,51,1,23.292,23292,McLaren,23.292,5795.5
2392,943,807,2,52,1,24.136,24136,Ferrari,24.136,8558.5
2393,943,831,3,51,1,23.813,23813,Force India,23.813,1098.0
2394,943,813,2,52,1,23.937,23937,Mercedes,23.937,5927.0
2395,943,829,2,50,1,24.224,24224,McLaren,24.224,5795.5
2396,943,834,2,50,1,30.442,30442,McLaren,30.442,5795.5
2397,944,817,1,3,1,23.937,23937,Mercedes,23.937,5927.0
2398,944,807,1,9,1,24.009,24009,Red Bull,24.009,5329.5
2399,944,13,1,10,1,23.887,23887,Williams,23.887,3567.0
2400,944,815,1,10,1,23.854,23854,Mercedes,23.854,5927.0
2401,944,822,1,11,1,23.736,23736,Force India,23.736,1098.0
2402,944,18,1,12,1,23.242,23242,Force India,23.242,1098.0
2403,944,828,1,12,1,24.699,24699,Red Bull,24.699,5329.5
2404,944,4,1,13,1,22.981,22981,Force India,22.981,1098.0
2405,944,831,1,14,1,25.529,25529,Red Bull,25.529,5329.5
2406,944,834,1,14,1,25.492,25492,McLaren,25.492,5795.5
2407,944,829,1,15,1,25.547,25547,McLaren,25.547,5795.5
2408,944,813,1,25,1,24.115,24115,Williams,24.115,3567.0
2409,944,817,2,28,1,23.979,23979,Mercedes,23.979,5927.0
2410,944,18,2,31,1,24.265,24265,Force India,24.265,1098.0
2411,944,4,2,32,1,23.218,23218,Force India,23.218,1098.0
2412,944,828,2,32,1,29.148,29148,Red Bull,29.148,5329.5
2413,944,815,2,33,1,23.609,23609,Mercedes,23.609,5927.0
2414,944,807,2,35,1,24.199,24199,Red Bull,24.199,5329.5
2415,944,13,2,38,1,23.927,23927,Williams,23.927,3567.0
2416,944,831,2,39,1,24.491,24491,Red Bull,24.491,5329.5
2417,944,822,2,41,1,24.913,24913,Force India,24.913,1098.0
2418,944,829,2,40,1,27.095,27095,McLaren,27.095,5795.5
2419,944,834,2,41,1,26.706,26706,McLaren,26.706,5795.5
2420,944,813,2,44,1,30.082,30082,Williams,30.082,3567.0
2421,944,815,3,51,1,23.732,23732,Mercedes,23.732,5927.0
2422,944,18,3,51,1,23.402,23402,Force India,23.402,1098.0
2423,944,817,3,52,1,24.775,24775,Mercedes,24.775,5927.0
2424,944,4,3,52,1,23.810,23810,Force India,23.81,1098.0
2425,944,828,3,53,1,25.102,25102,Red Bull,25.102,5329.5
2426,944,13,3,55,1,23.401,23401,Williams,23.401,3567.0
2427,945,831,1,4,1,28.407,28407,Ferrari,28.407,8558.5
2428,945,826,1,5,1,21.868,21868,Williams,21.868,3567.0
2429,945,832,1,7,1,25.307,25307,Mercedes,25.307,5927.0
2430,945,822,1,8,1,24.485,24485,Force India,24.485,1098.0
2431,945,830,1,8,1,22.309,22309,Mercedes,22.309,5927.0
2432,945,18,1,8,1,23.722,23722,Red Bull,23.722,5329.5
2433,945,822,2,9,1,28.622,28622,Force India,28.622,1098.0
2434,945,1,1,11,1,21.346,21346,Red Bull,21.346,5329.5
2435,945,828,1,15,1,22.838,22838,Williams,22.838,3567.0
2436,945,830,2,20,1,22.457,22457,Mercedes,22.457,5927.0
2437,945,829,1,23,1,22.913,22913,McLaren,22.913,5795.5
2438,945,833,1,24,1,24.314,24314,McLaren,24.314,5795.5
2439,945,826,2,25,1,21.634,21634,Williams,21.634,3567.0
2440,945,831,2,26,1,22.806,22806,Ferrari,22.806,8558.5
2441,945,18,2,27,1,22.310,22310,Red Bull,22.31,5329.5
2442,945,832,2,28,1,22.063,22063,Mercedes,22.063,5927.0
2443,945,822,3,29,1,29.592,29592,Force India,29.592,1098.0
2444,945,829,2,33,1,22.854,22854,McLaren,22.854,5795.5
2445,945,830,3,38,1,22.355,22355,Mercedes,22.355,5927.0
2446,945,1,2,41,1,21.392,21392,Red Bull,21.392,5329.5
2447,945,828,2,41,1,22.200,22200,Williams,22.2,3567.0
2448,945,831,3,44,1,22.086,22086,Ferrari,22.086,8558.5
2449,948,825,1,1,1,27.831,27831,Ferrari,27.831,8558.5
2450,948,832,1,8,1,22.414,22414,Renault,22.414,1777.0
2451,948,831,1,10,1,22.701,22701,Force India,22.701,1098.0
2452,948,828,1,11,1,22.357,22357,Red Bull,22.357,5329.5
2453,948,4,1,12,1,21.796,21796,Williams,21.796,3567.0
2454,948,835,1,12,1,23.286,23286,Ferrari,23.286,8558.5
2455,948,830,1,13,1,22.303,22303,Renault,22.303,1777.0
2456,948,18,1,15,1,22.616,22616,Force India,22.616,1098.0
2457,948,8,1,16,1,22.508,22508,Mercedes,22.508,5927.0
2458,948,807,1,16,1,22.167,22167,Red Bull,22.167,5329.5
2459,948,815,1,16,1,24.719,24719,McLaren,24.719,5795.5
2460,948,822,1,17,1,21.376,21376,Ferrari,21.376,8558.5
2461,948,825,2,16,1,22.079,22079,Ferrari,22.079,8558.5
2462,948,828,3,27,1,16.936,16936,Red Bull,16.936,5329.5
2463,948,18,3,30,1,21.837,21837,Force India,21.837,1098.0
2464,948,832,3,31,1,22.392,22392,Renault,22.392,1777.0
2465,948,830,3,32,1,29.066,29066,Renault,29.066,1777.0
2466,949,807,1,1,1,31.931,31931,Mercedes,31.931,5927.0
2467,949,815,1,2,1,30.326,30326,McLaren,30.326,5795.5
2468,949,832,1,2,1,28.401,28401,Mercedes,28.401,5927.0
2469,949,822,1,8,1,24.944,24944,Ferrari,24.944,8558.5
2470,949,838,1,9,1,24.604,24604,Renault,24.604,1777.0
2471,949,822,2,9,1,19.369,19369,Ferrari,19.369,8558.5
2472,949,830,1,10,1,25.810,25810,Force India,25.81,1098.0
2473,949,8,1,12,1,24.720,24720,McLaren,24.72,5795.5
2474,949,825,1,12,1,26.876,26876,Williams,26.876,3567.0
2475,949,837,1,12,1,26.382,26382,Renault,26.382,1777.0
2476,949,3,1,13,1,24.934,24934,Williams,24.934,3567.0
2477,949,828,1,13,1,24.775,24775,Force India,24.775,1098.0
2478,949,815,2,14,1,25.068,25068,McLaren,25.068,5795.5
2479,949,826,1,16,1,24.419,24419,Force India,24.419,1098.0
2480,949,807,2,16,1,24.930,24930,Mercedes,24.93,5927.0
2481,949,832,2,20,1,34.978,34978,Mercedes,34.978,5927.0
2482,949,825,2,24,1,24.383,24383,Williams,24.383,3567.0
2483,949,838,2,25,1,24.682,24682,Renault,24.682,1777.0
2484,949,830,2,26,1,25.594,25594,Force India,25.594,1098.0
2485,949,8,2,29,1,25.222,25222,McLaren,25.222,5795.5
2486,949,828,2,29,1,25.363,25363,Force India,25.363,1098.0
2487,949,3,2,30,1,27.226,27226,Williams,27.226,3567.0
2488,949,837,2,31,1,28.120,28120,Renault,28.12,1777.0
2489,949,826,2,34,1,24.661,24661,Force India,24.661,1098.0
2490,949,822,3,34,1,26.110,26110,Ferrari,26.11,8558.5
2491,949,807,3,35,1,24.734,24734,Mercedes,24.734,5927.0
2492,949,8,3,37,1,25.257,25257,McLaren,25.257,5795.5
2493,949,815,3,37,1,24.517,24517,McLaren,24.517,5795.5
2494,949,825,3,38,1,24.341,24341,Williams,24.341,3567.0
2495,949,3,3,39,1,25.761,25761,Williams,25.761,3567.0
2496,949,838,3,41,1,25.316,25316,Renault,25.316,1777.0
2497,949,826,3,44,1,24.224,24224,Force India,24.224,1098.0
2498,949,837,3,44,1,25.517,25517,Renault,25.517,1777.0
2499,949,830,3,46,1,25.129,25129,Force India,25.129,1098.0
2500,949,807,4,51,1,26.595,26595,Mercedes,26.595,5927.0
2501,950,1,1,1,1,29.322,29322,Force India,29.322,1098.0
2502,950,815,1,4,1,23.215,23215,Mercedes,23.215,5927.0
2503,950,20,1,4,1,30.115,30115,Williams,30.115,3567.0
2504,950,807,1,4,1,27.683,27683,Ferrari,27.683,8558.5
2505,950,832,1,4,1,25.754,25754,Renault,25.754,1777.0
2506,950,18,1,4,1,24.072,24072,Red Bull,24.072,5329.5
2507,950,822,1,4,1,22.682,22682,Renault,22.682,1777.0
